NCR No,NCR Description,Stage Of Inspection,Equipment,NCR Class,Status,Rectification Required,Proposed Solution,Problem Category,Root Cause,Root Cause Category,Corrective Action,Workman or Management,Disposition,Referred to Customer,Comments from Design,Implemented Solution,Corrective Action Implemented,Validate On,QA Approve On,QC Closure On,Designer Review On,CTQ,PBU,NCR COPQ,Root Cause Finalised in Hours,Time to give disposition in hours
NCR-26582,Requirement:- Un-Authorized Weld bult-up shall not be carried out on base metal surface.  Deviation:-  Un-Authorized Weld bult-up observed on both Guid rail surface. Refer attached Photos.                       Size:- Length = 800 mm from start point of  guid rail                                 Weld thickness =  5 to 6 mm                                 Width = 50 mm    Objective Evidence:- Refer attached Annexure-1 & Photos.,Surviliance Inspection,Shell,Minor,Closed,Yes,Proposed rectification   Remove affected guide rail pieces (800 mm length) with new one based on DCC and PCC input,Other,"1. Lack of sensitivity on contractor team related unauthorized welding on base metal.   2. Lack of control of LT manufacturing team,",Others,"1. CT session for contractor employees and workmen to be arranged - 30/6/24  2. Entire L&T staff was briefed about this incident, need to stay vigilant - Completed in dept meeting dated 26-Apr-24",Workman,Rework (Complete Rectification),No,FOLLOW S040697D-NCR-002 (NCR-26600),"rectification done as per design commment, found satisfactory",NULL,,,,,No,HTE,NULL,1006,1197
NCR-26583,"Requirement: Project No. S010643, Part No. 210 - Nozzle S5 Forging Bottom profile required with spherical radius to match ellipsoidal dish end profile.    Deviation: Actual Forging bottom profile observed with cylindrical radius.  Objective evidence: Error in CRS drawing, Refer attached photo.",During Setup,Exchanger,Minor,Closed,Yes,"Replace the nozzle with new as per procurement drawing 'LTHE-FPSS-10643087'.   New nozzle forging (part no. 299), shall match the required dimensions and dish end profile.",Design/Drawing,Human error.   Mismatch in procurement & detail drawing.  Refer RCA enclosed for further details,Human Error,Refer enclosed RCA  1. Separate procurement drawing for each nozzle type shall be prepared  2. Such avenues of process improvement shall be identified and addressed per 'Design Upskilling Anubhuti' initiative in HTE,Management,Rework (Complete Rectification),No,Replace the nozzle with new one.,Nozzle Replaced with New Nozzle,NULL,,,,,No,HTE,NULL,544,695
NCR-26585,"Project no. S041107  Equipment - Regenerator  Site - IOCL Panipat P25  Stage - WEP inspection after trimming & grinding of cut out on Shell for Insert plate.    Requirement:  1. Drawing no. LTHE-RORR-41107005 Sheet 1of 2, Rev. for layout of Shell,  2. Drawing no. LTHE-RORR-4117005 sheet 2 of 2, Rev. Detail for nozzle N310.    The dimensions of cut out made on Shell for Insert plate to be maintained as per drawing requirement. The radius (R150 mm, TYP) is required at corner of Shell cut out.    Deviation:  During inspection of cut out WEP of Shell #1 Circ. seam CW527, radius R150 mm is not maintained at corners. The 90° sharp corner is made on Shell cut out corner. (Extra Shell  material is trimmed at corners)     Refer enclosed Annexure for details of this deviation.",Inspection of wep,Shell,Minor,Closed,Yes,- Setup and welding of insert plate with shell as per repair plan.   - Radius preparation in received insert plate as per DCR – 67 at 2 location.    - All other insert plates (Fabricated from Hazira) is checked. Same issue found in another insert plate N-311 (Item No- 515).     - Corner joint approval taken from designer (DCR i/p) and to be welded as per repair plan.,Execution,-Lack of supervision by L&T supervisor.  -Insert plate received from hazira had same 90 deg sharp cut. Contractor thought to maintain same condition for fitment.,Dimension Control Fabrication,- Verification of drawing before proceeding for any cutting of job item by L&T execution.    - Presence of execution supervisor and fitter during cutting operation.   - Penalty shall be imposed to contractor for such deviation.,Workman,Repair (Rectify Partially),No,"Follow the rectification plan as per attached SWRP ""SWRP-S041107-NCR-26584_Rev.1""","Rectification carried out as per repair procedure & test plan followed for subsequent NDT, found ok",NULL,,,,,No,MRU,NULL,606,1009
NCR-26586,"Requirement: Project: S010642, Item No. A-101-C, Expansion bellows final installed assembly length required is 1100mm.   Deviation: With current dimension of expansion bellows welded ends, Expansion bellows final length will be 1068mm.  Objective evidence: The above drawing error related to interface identified after PWHT of Expansion bellows welded ends.",Dimension After PWHT,Exchanger,Minor,Closed,Yes,A. Cut & reweld the liner sleeve shell (part 704) with length correction - (minus) 32mm.   New seam no. NP-703 shall be followed. Welding  shall be full penetration weld.  NDT for new New seam to be RT. (Refer Sketch 1)  Carry out machining of sleeve from open end for a length of min 150 mm to ensure OD within tolerance.    B. Corresponding length reduction in part 404 shall be done before welding CW402. New length of part 404 shall be 1046.1 mm (Refer Sketch 2)    C. Corresponding part no. 127 length shall be increased by 32 mm. (Refer Sketch 3),Design/Drawing,"In adequate Bellow weld ends length. This was missed during initial interface checking. During subsequent checking, the provided length (103.3mm) was found inadequate with respect to vendor drawing (121mm).",Human Error,Indicate important interface dimensions in procurement drawing and obtain vendor confirmation.  Refer enclosed RCA,Management,Repair (Rectify Partially),No,Proposed rectification shall be done in line with rectification procedure (HO2-0642-PL52) followed by shop weld/ test plan,"Rectification done, Acceptable.",NULL,,,,,No,HTE,NULL,122,122
S020050A-NCR-022,"Project no. S020050A, Seam No.- S-CW3603    Activity Description - LSR of SA10 # SA33 assembly (HTR no. HTR/S020050A/128, R0)  Reference document - Sheet 29 of SG700-HTP-01 & LTTS-789  Requirement -  During 1st soaking of LSR, minimum temp. of Heat Band (HB) should be 432°C   Deviation - Actual minimum temperature observed in HB is in between 425°C - 430°C for the span of ~12 min.",,Nuclear,Minor,Closed,No,,Execution,"During 1st soaking, an electrical problem occurred in control panel (contactor burnt) this caused the TC-16 gradually to decrease between 425°C - 430°C at Heating Band (Required minimum temperature 432°C.)",Improper Heat Treatment,- Preventive maintenance shall be performed through check list for all heat treatment Instrument / equipment and same shall be shown to QC just prior to start of heat treatment.    - One control will be kept as a spare in all control panels.,Workman,Accept as it is,Yes,Deviation is accepted as it is.,Proposed deviation can be accepted as it is since there is no deviation with respect to specification requirement. Refer Designer and welding engineer comment.,NULL,,,,,No,,NULL,453,674
NCR-26588,Requirement: Smooth profile (Surface )  to be maintain after machining for Bottom Head .(No Uncut surface)  Deviation:  After Machining uncut area observed at 3 locations.  1) ~480 mm from 90° towards 0° & ~620 mm from 90° towards 180°. Depth of Uncut area 6.7 mm.   2) ~70 mm start points from 180° towards 90° uncut area ~800 mm. Depth of Uncut area 3.6 mm.  3) ~470 mm from 270° towards 0° & ~1400 mm from 270° towards 180°. Depth of Uncut area 4.7 mm.  Objective Evidence: Refer attached sketch for more details.,During Machining,Dished End Assembly,Minor,Closed,Yes,Machining carried out as per designer's comments.,Vendor,Profile variation in forming and dimensional inspection methodology lead to out of tolerance in local area.,Vendor Mistake,Mill's internal system will be revised for inspection methodology post forming.,Management,Repair (Rectify Partially),No,[1] Carry out additional machining to achieve smooth profile. [2] Ensure minimum thickness of head as per drawing.,Rectification carried out as per design comments. Found satisfactory.,NULL,,,,,No,RPV,0,2185,2249
NCR-26590,"Details:  1. Project no. - S040684A   2. Equipment – Key Gasification Equipment (KGE)  3. Refractory material –  - Manufacture Name - GOUDA REFRACTORIES BV (Netherlands)  - Material - CURON 130 R GM  - Type - Dense Refractory Castable Gunning Material  4. Procedure- APQ and Refractory Lining Installation procedure for Gunnite Lining Application - Document No. LTHE- ROGF – 06840605, Rev. 3  5. MRU site - Talcher, TFL-Odisha    Requirement:  Clause No. 7.0 of above procedure states followings.  1. For initial storage of materials i.e. storage between from delivery to installation location and actual use, the materials shall be stored in a well-ventilated Place.  2. Extreme care shall be taken to prevent Shrink-wrap film being damaged.  3. Shelf life of refractory material is 12 months from the date of production.  4. No bag should be torn.    Contrary to above, following are the observations noticed at TFL site.  1. All the Refractory material bags are in preserved in closed container without provision of ventilation.  2. Refractory material bags found without shrink wrap films.  3. Shelf life of refractory material found expiry. Delivery date 05- 07 -2022.  4. Refractory bags are found in torn condition.    Refer attached Annexure for details of these conditions adverse to quality.",,Other,Minor,Closed,No,To be accepted as it is.  As recommended by manufacture refractory material to be tested on a regular basis against the batch as per procedure before installation. Any material not meeting the requirement during this period shall not be used.,Execution,Lack of sensitivity towards procedure compliance,Material Handling,1. Refractory procedure awareness session to be conducted for site team – Deepak 29th June 2024  2. Refractory materials shall be shifted to site not more than 15-20 days in advance – Rizvan (PMG) / Prem (Site),Management,Accept as it is,No,Proceed as per proposed Rectification/Correction. Carry out testing as recommended by refractory supplier.,"All proposed rectification, testing & corrective active actions have been carried out and found satisfactory.",NULL,,,,,No,MRU,NULL,1487,1516
NCR-26591,"Details:  1. Project no. - S040684B  2. Equipment – Key Gasification Equipment (KGE)  3. Refractory material –  - Manufacture Name - GOUDA REFRACTORIES BV (Netherlands)  - Material - CURON 130 R GM  - Type - Dense Refractory Castable Gunning Material  4. Procedure- APQ and Refractory Lining Installation procedure for Gunnite Lining Application - Document No. LTHE- ROGF – 06840605, Rev. 3  5. MRU site - Talcher, TFL-Odisha    Requirement:  Clause No. 7.0 of above procedure states followings.  1. For initial storage of materials i.e. storage between from delivery to installation location and actual use, the materials shall be stored in a well-ventilated Place.  2. Extreme care shall be taken to prevent Shrink-wrap film being damaged.  3. Shelf life of refractory material is 12 months from the date of production.  4. No bag should be torn.    Contrary to above, following are the observations noticed at TFL site.  1. All the Refractory material bags are in preserved in closed container without provision of ventilation.  2. Refractory material bags found without shrink wrap films.  3. Shelf life of refractory material found expiry. Delivery date 05- 07 -2022.  4. Refractory bags are found in torn condition.    Refer attached Annexure for details of these conditions adverse to quality.",,Other,Minor,Closed,No,To be accepted as it is.  As recommended by manufacture refractory material to be tested on a regular basis against the batch as per procedure before installation. Any material not meeting the requirement during this period shall not be used.,Workmanship,Lack of sensitivity towards procedure compliance,Material Handling,1. Refractory procedure awareness session to be conducted for site team – Deepak 29th June 2024  2. Refractory materials shall be shifted to site not more than 15-20 days in advance – Rizvan (PMG) / Prem (Site),Management,Accept as it is,No,Proceed as per proposed Rectification/Correction. Carry out testing as recommended by refractory supplier.,"All proposed rectification, testing & corrective active actions have been carried out and found satisfactory.",NULL,,,,,No,MRU,NULL,1487,1517
NCR-26592,"Equipment - Regenerator    Stage - Setup inspection of Circ. seam CW513    Requirement - Root gap shall be 1mm as per drawing.    Deviation - During inspection of Circ. seam setup, root gap observed 15 - 20mm from 68° to 108° (Approx. 4m area)    Refer attached annexure for details.",Setup inspection of Circ. seam,Regenerator,Minor,Closed,Yes,Fillup the gap as per repair procedure.,Execution,• The component furnace PWHT did not comply with standard guidelines.   • The inspection stage after PWHT was skipped.,Dimension Control Fabrication,• All section dimensions must be verified after the completion of PWHT before proceeding with further integration activities.  • Planning to prepare and verify HTR as per the guidelines.  • Manufacturing team to ensure 100 % compliance of all supporting arrangement as per HTR at shop and at Furnace.  • Manufacturing/ planning and QC to make Joint inspection before firing the charge at furnace in additions to QC check list.   • Verify supports and visual just after opening of furnace for any distortion during heat treatment.,Management,Repair (Rectify Partially),No,Follow the welding recommendation / repair plan for rectification work,Acceptable,NULL,,,,,No,MRU,NULL,1220,1236
NCR-26594,Project no:  S041234  PO number: 04M002663  PO Line:  5  Item ID: 41234-A01  Item Description: PLATE  Material :   Mill plate no. 17PB925595-1- 01  Mill ref No: DKC-20240423-001    Size:  3150 x 2547 x 139  Material Specification: SA-240M-Type 304/304L (DUAL CERTIFIED)  QTY: 1  Supplier:  DK CORPORATION  Observation:  Cut defect observed on edge. Size 25 mm x 10 mm  Please refer to the attached Mill RCA and CAPA and PO for reference,REPORTED BY VENDOR,Plate,Minor,Closed,No,Accepted based on design comments,Vendor,"Due to an error in judgement by the operator, the cutting was done beyond the requirements",Vendor Mistake,Retraining and guidance to the operator,Management,Accept as it is,No,Acceptable as defective area is located in edge Breaking portion of the shell (Will not be pert of final product),Acceptable as it is based on Design Acceptance.,NULL,,,,,Yes,,NULL,195,1170
NCR-26596,"Equipment Tag No.: A92-D-0030    Project Description: Zuluf AH South & North Water Injection facilities.    Code of construction: ASME SEC VIII DIV II    Requirement: As per WPS 101-101-S060081 R0, Minimum preheat temperature (100degree) shall be maintained during welding.    Deviation: During surveillance, it has been observed that required minimum preheat temperature is not maintained during welding of shell (Part No. 114) # Inner ring (Part No. 10) weld joint AW509H.    Evidence: Refer attached photographs",Before PWHT,Shell,Minor,Closed,Yes,"Remove the welded area, perform DPT of affected area & reweld as per WPS",Workmanship,Welder didn't recheck of preheat temperature of joint before restart of welding.,WPS/Wels Plan Violation,1. Incident shared with all welders & supervisors.  2. Practice of keeping spare tungsten with welders is implemented.  3. Preheating arrangement shall be fine tune wrt joint geometry. Ring burner usage from other side shall be implemented.,Workman,Repair (Rectify Partially),No,"Carry out rectification as per Welding Engineer instruction.   Since material is getting restored, no implication on design integrity.",Rectification done as per WE  comment followed by NDE and Found satisfactory.,NULL,,,,,No,LTP,NULL,170,478
NCR-26597,"Stage : During Piping Fit-up of Joint No. FW04 & FW10 of Line ID : P-701E-3320-B3G-06 with Line ID : P-701E-3320-B3G-05    Observation :  1. For Line ID : P-701E-3320-B3G-06 SP01 (at FW04 & FW10) required dimension of Pipe Centre to Pipe Centre is 4000.0 mm   Actual Observed is 4000.0 mm.  2. For Line ID : P-701E-3320-B3G-05 SP01 (with Line ID : P-701E-3320-B3G-06 SP01) required dimension of Elbow Centre to Elbow Centre is 4000.0 mm   Actual Observed is 4014.0 mm.  3. Due to above dimension deviation, When FW04 fit up is matched with 0mm offset then Fit up of FW10 is found offset by 14mm.     Note : Refer attached photos and drawings.",During Fitup Inspection,Pipe,Major,Validate,NULL,,,,,,NULL,,NULL,,,NULL,,,,,No,NULL,NULL,#VALUE!,#VALUE!
NCR-26598,"Requirements :- Tube  shall be free from damage.    Deviation :- During surveillance, tube damage observed, Damage tube Depth is 0.3 mm approx.. (tube material SA 213 TYPE 316/316L)    Objective evidence :-refer attached annexure -1 and photos  for tube no. and location.",,Assembly,Minor,Closed,No,Polish and remove scratch marks and accepted as it is,Other,During bundle handling it touch to the fixture and resulted scratch marks,Others,1 Minimize handling   2. Handling with carefully to avoid any touch on metallic materials,Workman,Regrade (Accept Conditionally),No,Proposed rectification acceptable.,"accepted as it is , smooth polishing done found satisfactory",NULL,,,,,No,,NULL,243,245
S040697D-NCR-002,Requirement:- Both guide rails dimension from center line of tube bundle to top of the guide rails required 630 mm as per Drawing.  Deviation:- Dimension from center line of tube bundle to top of the guide rails observed beyond the acceptable limits. Actual dimension observed 635 mm in 50 mm Width & 800 mm length from start point of guide rail from shell flange side.  Objective evidence: Refer attached annexure.,Dimension Inspection,Structural,Minor,Closed,Yes,Proposed rectification   Remove affected guide rail pieces (800 mm length) with new one based on DCC and PCC input,Other,"1. Lack of sensitivity on contractor team on guide rail grinding and dimension maintaining    2. Lack of control of LT manufacturing team,",Others,"1. CT session for contractor employees and workmen to be arranged - 30/6/24  2. Entire L&T staff was briefed about this incident, need to stay vigilant - Completed in dept meeting dated 26-Apr-24",Workman,Repair (Rectify Partially),Yes,Proposed rectification acceptable.  New part no. 407R  New seam no.     NPR26600/1-2: Guide rail to guide rail joint  AWR26600/1-2: Guide rail to shell/flg./cone joint (as per drawing),"Rectification done as per design comment, found ok",NULL,,,,,No,,NULL,79,223
NCR-26601,"Stage: Overall assembly visual & dimension after erection of reactor, regenerator along with ancillary items.  Deviation :   1. Recycle riser guide trunnion support is fouling with structure  beam.  2. Recycle riser center to reactor center distance required 10465mm, Actual observed 10397mm.",refer Description.,Shell,Minor,Implement,Yes,Rectification shall be carried as per Procedure-LTHE-RORR-07890701_R3 approved by LTEH -EIL.,Other,Unavailability of detailed method statement which outlined the sequence of operation to be performed for critical FCCU equipment integration,Dimension Control Fabrication,As per RCA,Management,Rework (Complete Rectification),No,"Rectification shall be done in line with attached ""Rectification Procedure_Recycle Riser_R2"".  Detail for seam no & pos no shall be part of revised drawing. Ensure final product meet drawing requirement  In case, dimensions are not met after proposed rectification, same shall be reported to DCC with revised rectification plan,",,NULL,,,,,No,MRU,NULL,793,952
NCR-26602,"Stage : During Site Visit following observation found for :- Column-04, 07 & 08 against L&T DRAWING No. : A-I1146-IOCL-CS-FAB-026, SHT-0112, REV-03 Product : CLARIFIER TANK SUPPORT STRUCTURE    1. Requirement : One Side Single-Bevel Butt Weld + other-side Fillet Weld :        Observation : Fitup done without Bevel & for same welding skipped, and proceeded to next stage fit-up with PLT46.    2. Requirement : Both-side Bevel Joint Splice Joint (For Channel to Channel)       Observation : Without completion of Welding (Incomplete Welding) proceeded to next stage fit-up with Support Plate.    3. Requirement : Stacking & Handling       Observation : Poor Storage & Stacking of Raw-Materials, Sub-Assemblies, Directly laying on ground.    Note : Refer Attached annexure for Photos, Details and Drawing.",DURING SITE VISIT,Structural,Major,CAPA by Responsible Department,NULL,,,,,,NULL,,NULL,,,NULL,,,,,No,MRU,NULL,#VALUE!,#VALUE!
NCR-26603,"Project No.: S020136A-B  P.O No.: 02L011624  Item.: SA479/479M TP 304L Bars  Heat No.: 22L1720  Bar No.: 3, 8, 13, 16 and 21  Size/Dia.: 16 mm  Qty.: 5 Nos     Requirements:-   1) Microstructure of  SA479/479M TP 304L Bars shall confirm the uniform/solution annealed structure.  2) For Tensile test, Elongation shall be minimum 30%.    Observations:-  1) For Ba No. 3, 8, 13, 16 Microstructure does not conform the solution annealed structure  during metallographic examination. In addition to this, Cracked observed for Bar no. 8.   2) For Bar No. 21, %Elongation observed 25%.    Evidence:-  Report No.: 2312/TC01582-03, 2312/TC01587-03, 2404/TC00405-04, 2404/TC00408-04 and 2404/TC00413-01",Receiving,Other,Minor,Closed,No,Components having deficiency will be rejected & supplier will provide replacement against these items,Other,"Being small quantity, round bar raw material was procured from stockiest supplier (M/s. Steelmet).",Others,"1. All required testing to be carried at supplier place prior to lifting of stockiest material    2.To the extent possible, material to be procured through manufacturing route.",Management,Reject,No,"BAR no. 3, 8, 13, 16 & 21 shall be rejected.",These round bars are rejected.,NULL,,,,,No,NU,NULL,585,775
S040700E-NCR-001,"Requirement:- Projection of Nozzle S2 from Center line required- 1700mm (+/-3) as per drawing.  Deviation:- Nozzle Projection found 1692mm from centre line for S2 Nozzle of S040700E & Nozzle Projection found 1692mm from centre line for S3 Nozzle of S040700F. Nozzles projection not meeting to tolerance.  Objective evidence:- Inspection report.  This NCR applicable for S040700E,F.",,Shell,Minor,Closed,No,Nozzle dimension accept as it is based on design comment,Other,Shell profile has incurred additional ovality 3-4 mm due to weld distortion of saddle & platform clip,Dimension Control Fabrication,1. Flange welding shall be done post attachment welding to maintain final nozzle projection   2. Adequate supporting to maintain Shell profile while attachment welding,Management,Accept as it is,Yes,Accept as it is,Deviation accepted as it is as per design comments.,NULL,,,,,No,HTE,NULL,114,117
S040700D-NCR-002,"Required :- Tell tale holes & thread dimension shall be maintain as per drawing(LTHE-FPOH-20012002 R5)   Actual :-During inspection saddle wrapper plate  tell tale hole  observed over size 1/4 ''NPT instead of 1/8 ''NPT , which is not as per drawing.    Evidence :- refer attached Annexure -1  for more details  This NCR applicable for S040700D,E,F",,Assembly,Minor,Closed,Yes,Following are the proposed rectification subjected approval.   1. Carry out re-tapping on damage thread and made them as per requirement    2. Do tapping of next size,Other,1. NPT threads generally are not suitable for multiple usages by configuration. Due to multiple usages it gets oversize.   2. In few holes core drill size found more than required size by 0.5 to 1 mm.,Others,1) Core drill shall be drilled with the negative tolerance for NPT threads  2) QC shall add above checkpoint in inspection checklists to ensure adherence.,Workman,Accept as it is,Yes,Tell tale hole 1/4 ''NPT instead of 1/8 ''NPT acceptable.,Acceptable as per design comments,NULL,,,,,No,HTE,NULL,7,363
NCR-26608,Project No.: S041215A - EO Reactor / Gas Cooler  Part No.: 206 - Transition Piece  Material spec.: SA508M Gr3 CL1 + SS 308l Overlay  Overlay Seam No.: OW262  Overlay welding process : ESSC  Requirement : Chemical composition and Ferrite Content of the overlaid material shall meet the requirements of Approved Chemical analysis and Ferrite Content Procedures.  Deviation: Chemical composition and Ferrite content of 3 passes of overlaid material on the Backface near ID to backface junction does not meet the approved procedure requirements.          Chemical Composition           Ferrite Content   Element Required in %   Actual in %  Required FN Actual FN  Cr               18-21         15.9 - 16.9       3 - 10           0.7 - 1.4  Ni                9 -11         9.37 - 9.97     Similar deviation is also observed in one pass of the overlay on ID of  the same item of S041215B project.,,Other,Minor,Closed,Yes,3nos ESW  passes on S040215A & 1nos of ESW pass on S0410215B shall be removed & rectified as per approved repair plan.,Workmanship,Flat position might not have been ensured by welder before welding leading to higher dilution and lower Cr & FN,Human Error,Awareness sessions to all ESW welding operators for importance of “Flat” position and its impact on Chemistry and ferrite.,Workman,Rework (Complete Rectification),No,Follow welding engineering comments. Rectification shall be carried out inline with the attached SWRP Doc S041215A-SWRP-NCR-26608_R0,"Rectification carried out as per approved SWRP Doc. No. S041215A-SWRP-NCR-26608, R0 and found satisfactory.",NULL,,,,,No,RPV,NULL,144,235
NCR-26610,"Requirement: As per Drawing, (LTHE-ROGF-06840083 REV. R3, DETAIL- D21) In hex mesh seal welding to be done with end strip on both sides.  Deviation: Instead of both side seal weld only one side tack welding done with end strip. This deviation observed in vessel section of Reactor, GRC and SGC which were received at Talcher MRU site from HZW workshop.  Objective evidence: Please refer attached file of photographs for clarity.",Before Refractory application at TFL site,Internals,Minor,Closed,Yes,Hexmesh seal  welding need to be done from both side wherever acessible,Workmanship,1) Drawing requirement were overtook at manufacturing & inspection stage  2) Tack requirment for anchor to Hex mesh was considered for all hex mesh joints,Human Error,1) Hex mesh detail to be stuided in detail and to be covered in CTQ  2) Learning to be captured in Exit meeting for reference in future jobs,Management,Repair (Rectify Partially),No,Complete hexmesh welding as per drawing.,"Visual inspection carried out after complete welding on Hexmesh (either sides of Hex mesh strips) attached in equipment (Reactor, GRC & SGC) in line with approved drawing requirements and found satisfactory.",NULL,,,,,No,MRU,25,1371,1508
NCR-26611,"Requirement: As per Drawing (LTHE-ROGF-06840083 REV. R3, DETAIL- D21) In hex mesh seal welding to be done with end strip on both sides.  Deviation: Instead of both side seal weld only one side tack welding done with end strip. This deviation observed in vessel section of Reactor, GRC and SGC which were received at Talcher site from HZW shop.  Objective evidence: Please refer attached file of photographs for clarity.",Before Refractory application at TFL site,Internals,Major,Closed,Yes,Hex mesh seal welding need to be done with end strip from both sides,Workmanship,1) Drawing requirement were overlook at manufacturing and inspection stage  2) Tack requirement for Anchor to Hex mesh was considered for all hex mesh joints,Human Error,1) Hex mesh detail to be studied in detail and to be covered in CTQ  2) Learning to be captured in Exit meeting for reference in future projects,Management,Repair (Rectify Partially),No,Complete hexmesh welding as per drawing.,"Visual inspection carried out after complete welding on Hexmesh (either sides of Hex mesh strips) attached in equipment (Reactor, GRC & SGC) in line with approved drawing requirements and found satisfactory.",Yes,,,,,No,MRU,25,1370,1507
NCR-26612,"Requirement: Orientation of connection joint no. S16, S08 & S05 shall be as per fabrication drawing P-701E-3318-B3G-04_R1    Deviation: During receipt of pre-fabricated spool, following deviation observed with respect to fabrication drawing.    1. Orientation of Joint No. S16 found in south-west direction instead of south-east direction.  2. Orientation of Joint No. S08 found in south-west direction instead of south-east direction.  3. Orientation of Joint No. S05 found in east direction instead of west direction.",During Fitup Inspection,Pipe,Major,Closed,No,"- Accept as it is since it was instrument connection.  - Drawing revised for the instrument tapping with below final directions:PT3308N – SE, PI3345N – SE, TE3317 – W, TI3329N – N, TW3355N – W",Workmanship,Reference for marking was not considered while marking as per wire template.,Human Error,- Learning shared with all cross-function team for Awareness.  - Training session to be arranged on proper template usage and orientation checks.  - For future all markings will be double cross check preferably by different supervisor/inspector with different method or tools e.g. drawing and reference field joints wherever applicable along with wire template.,Workman,Accept as it is,No,To be referred to SFU Design (Satya Lenka) for Design Change Analysis as this was fabricated at SFU shop.,The proposed corrective measures have been implemented in line with revised & approved design drawing issued by Engineering & found meeting requirements.,Yes,,,,,No,MRU,NULL,674,1250
S040697F-NCR-001,"Requirement:- As part of RCA & Corrective Action of NCR No.S040701A-NCR-003 all jobs Guide rail flatness shall be maintain in +/- 1 mm.    Deviation:- During Guide rail dimension inspection of project no. S040697F, Both Guide rail flatness dimension found out by 9 to 10 mm. Refer attached Inspection report.  Objective evidence:- Refer attached Inspection report.",Dimension Inspection,Other,Minor,Closed,Yes,Proposed rectification - Replace guide rails,Other,Excessive grinding on guide rail resulted flatness out by 9 mm,Human Error,Marking and punching require dimension on side face to avoid over grinding,Workman,Rework (Complete Rectification),Yes,Proposed rectification not to be followed.  Instead follow rectification as per attached rectification procedure 'HO2_697A_PL50'.  For welding of new part 422 to 407 follow seam no. NPR001-1/A-B.   For segments joining of part 422 follow seam no. NPR001-2/A-F.   Welding shall be as per applicable WPS. After welding NDT as per applicable QCP shall be followed.,"rectification done as per design comment, found satisfactory",NULL,,,,,No,HTE,NULL,77,224
S020050C-NCR-002,"Project No.: S020050C  LTFPS No.: 3201 (R0), OPN. No.: 370 to 430 (M1, A1)  Stage: U-Tubes Insertion and Installation of U-Bend support Strips  Requirement: During tube insertion, tube to tube gap in U bend region shall not be less than 4.5 mm (as per drawing no. NU-SG-0050-32-001N, R01). If gap is less than 4.5 mm, correction shall be done as per approved procedure (LTFPS-7070, R1).  Observation: During tube insertion, gap between tubes is checked and status is found as mentioned below,  (a) Uneven gap (less than 4.5 mm) observed between tubes at U-Bend region at 9 locations. The same was corrected as per approved LTFPS No. 7070 (R1).  Objective evidence:   (a) Refer attached inspection report no.: 3201/370/DE/01 dated 10.05.2024.  (b) Refer attached inspection report no.: 7070/10-80/DE/01 dated 10.05.2024.",During Tube Insertion at SA32 stage,Other,Major,Closed,No,Tube gap already corrected as per approved LTFPS,Materials,"The practice of gap checking between tubes is different at NFC & L&T. Inspection of tube-to-tube gap & final length of U-tubes is done at NFC on a trial assembly platform having a constraint at apex area (12'O clock position) of radius portion of U-Tubes as per approved procedure. The inspection of gap is done after locking the tubes in fixture at apex point of radius area wherein during insertion at L&T, U-Tubes are in free state after 13th Grid. The apex point of tubes rest on corrugated strip which doesn't lock the tubes in position.",Others,"To work out inspection methodology to simulate actual tube support conditions followed at L&T during tube insertion in SG. This includes keeping 12'O clock position of tubes in free condition while inspection. Teflon strip simulating corrugated strip to be used at tube apex area.    Feasibility for packing all the tubes in single packing with vacuum to be checked, in place of packing of single tube to reduce handling.",Management,Repair (Rectify Partially),Yes,Correction can be done as per approved LTFPS,"Rectification has been carried out as per approved LTFPS 7070,R1. The same is accepted after correction.",Yes,,,,,No,NU,NULL,316,1301
NCR-26617,Stage of inspection - Receipt inspection of Bottom section of Hopper A (Shell#1 + skirt shell + Toricone) at IOCL P25 Panipat site    Deviation - During receipt inspection of Bottom section of Hopper A below deviations are found                     1. 5 nos. of platform cleats were found broken & detached from shell.                     2. 4 nos of vent pipes on skirt shell were found damaged.                     3. Additional Welding (not as per drawing) with surface defects observed on base-metal of platform cleat beyond required fillet weld.    Refer attached report & photos for details.,Receipt inspection,Shell,Minor,CAPA by Responsible Department,Yes,As per instruction from PMG / Design,Other,"? Platform Cleats  Increase in actual width was not assessed properly. Due to inadequate clearance, cleats foul with trees. Heavy traffic forced driver to move ahead which resulted in collision / bent of cleats. As section jammed in between driver also cut some of the cleats.  ? Vent Pipe  Additional lashing taken from vent pipe was not evaluated for load capacity resulted in damage during transit.",Others,"- Strong feedback given to LSP and LSP gave apology for this incidence.   - In future, any change in dimension shall be assessed properly before execution  - Lashing to be done as per lashing plan only.",Workman,,NULL,,,NULL,,,,,No,RPV,0,#VALUE!,#VALUE!
